,Subagencia,Desc_Subagencia,Latitud,Longitud,Estado,Ciudad,Temperatura Max,Temperatura Min,Turismo,Indice Ingreso,PIB
0,10197,CMM M Tijuana,32.48312558,-116.9491283,Baja California,Tijuana,26.04590672,13.65090658,39.700677%,46.833333%," $127,461,136,439,174,000.00 "
1,10203,CMM San Luis,32.4482033,-114.775272,Sonora,,29.22334291,13.75706887,51.625888%,47.733333%," $132,344,467,114,190,000.00 "
2,10198,CMM Peñasco,31.41982985,-113.4124886,Sonora,Puerto Penasco,29.22334291,13.75706887,51.625888%,47.733333%," $132,344,467,114,190,000.00 "
3,10204,CMM Ensenada,31.85032857,-116.6114569,Baja California,,26.04590672,13.65090658,39.700677%,46.833333%," $127,461,136,439,174,000.00 "
4,10199,CMM Mexicali,32.51557115,-115.3886741,Baja California,,26.04590672,13.65090658,39.700677%,46.833333%," $127,461,136,439,174,000.00 "
5,10146,CMM M Chihuahua,28.67904661,-106.0486095,Chihuahua,Chihuahua,24.7614236,9.651553259,40.578147%,47.700000%," $127,534,800,305,513,000.00 "
6,10206,CMM Cuauhtemoc,28.36069651,-107.0731355,Chihuahua,,24.7614236,9.651553259,40.578147%,47.700000%," $127,534,800,305,513,000.00 "
7,10207,CMM Nuevas CasasGra,30.39053671,-107.8485287,Chihuahua,Nuevo Casas Grandes,24.7614236,9.651553259,40.578147%,47.700000%," $127,534,800,305,513,000.00 "
8,10156,CMM Juarez,31.61878954,-106.393345,Chihuahua,El Paso County,24.7614236,9.651553259,40.578147%,47.700000%," $127,534,800,305,513,000.00 "
9,10209,CMM Cuencame,25.02754138,-76.32565498,Chihuahua,,24.7614236,9.651553259,40.578147%,47.700000%," $127,534,800,305,513,000.00 "
10,10211,CMM Galeana,24.77140912,-100.2548275,Nuevo Leon,,26.50875113,13.98334071,52.270387%,47.866667%," $33,313,570,139,323,700,000.00 "
11,10212,CMM Parras de la fue,25.50321063,-102.1178316,Coahuila,,26.18495274,13.26000861,44.963017%,48.100000%," $151,349,154,923,861,000.00 "
12,10158,CMM Durango,24.21094634,-104.5137136,Durango,,24.74291291,9.028555601,16.829879%,47.166667%," $52,985,387,300,734,300.00 "
13,10214,CMM Vicente Guerrero,23.80740717,-104.0771239,Durango,Nombre de Dios,24.74291291,9.028555601,16.829879%,47.166667%," $52,985,387,300,734,300.00 "
14,10215,CMM Santiago Papasqu,25.09734363,-105.4836067,Durango,Santiago Papasquiaro,24.74291291,9.028555601,16.829879%,47.166667%," $52,985,387,300,734,300.00 "
15,10216,CMM Santa Ma del Oro,25.7743692,-105.1717008,Durango,El Oro,24.74291291,9.028555601,16.829879%,47.166667%," $52,985,387,300,734,300.00 "
16,10217,CMM Sabinas,27.85996877,-101.1352703,Coahuila,,26.18495274,13.26000861,44.963017%,48.100000%," $151,349,154,923,861,000.00 "
17,10218,CMM Piedras Negras,28.91122882,-100.8277129,Coahuila,,26.18495274,13.26000861,44.963017%,48.100000%," $151,349,154,923,861,000.00 "
18,10129,CMM M Guadalajara,20.61679494,-103.3938539,Jalisco,,26.10097058,12.48546801,48.709278%,46.733333%," $2,834,126,299,010,380,000.00 "
19,10130,CMM Zapopan,20.73445632,-103.3672641,Jalisco,Zapopan,26.10097058,12.48546801,48.709278%,46.733333%," $2,834,126,299,010,380,000.00 "
20,10131,CMM Tlaquepaque,20.60627638,-103.2667528,Jalisco,,26.10097058,12.48546801,48.709278%,46.733333%," $2,834,126,299,010,380,000.00 "
21,10159,CMM Autlan,19.92830965,-104.2646267,Jalisco,,26.10097058,12.48546801,48.709278%,46.733333%," $2,834,126,299,010,380,000.00 "
22,10133,CMM Talpa,20.42275188,-104.7453448,Jalisco,,26.10097058,12.48546801,48.709278%,46.733333%," $2,834,126,299,010,380,000.00 "
23,10134,CMM Ocotlan,20.35295694,-102.7085763,Jalisco,,26.10097058,12.48546801,48.709278%,46.733333%," $2,834,126,299,010,380,000.00 "
24,10135,CMM Sahuayo,20.0399914,-102.8318875,Michoacan,,25.42100254,11.9956598,39.076523%,47.100000%," $106,102,772,800,468,000.00 "
25,10136,CMM Tequila,20.84284255,-103.8833532,Jalisco,,26.10097058,12.48546801,48.709278%,46.733333%," $2,834,126,299,010,380,000.00 "
26,10161,CMM Manzanillo,19.16042804,-104.4384477,Colima,Manzanillo,29.88331464,18.89783632,42.988392%,44.066667%," $2,660,327,224,033,770.00 "
27,10141,CMM Valle de Bravo,19.20223613,-100.1215109,Estado de Mexico,Valle de Bravo,20.48682635,7.180018549,35.062081%,46.633333%," $40,314,137,435,427,100,000.00 "
