ENTIDAD,PIB
 Ciudad de México,7.516134104187432e+19
 Estado de México,4.031413743542716e+19
 Nuevo León,3.3313570139323744e+19
 Jalisco,2.8341262990103875e+18
 Veracruz,2.2515522563327053e+17
 Guanajuato,1.8579419713823053e+17
 Campeche,2.035411900575336e+17
 Coahuila,1.5134915492386128e+17
 Puebla,1.4161881167618597e+17
Tabasco,1.4498281128584118e+17
 Tamaulipas,1.3799047440516302e+17
 Baja California,1.274611364391748e+17
 Sonora,1.3234446711419006e+17
 Chihuahua,1.2753480030551304e+17
 Michoacán,1.0610277280046874e+17
 Querétaro,9.757443832646187e+16
 Sinaloa,9.217343019346037e+16
 San Luis Potosí,8.599075732744878e+16
 Chiapas,7.820607586609624e+16
 Hidalgo,7.214107474575475e+16
 Quintana Roo,7.122340781175425e+16
 Oaxaca,6.965573792775238e+16
 Yucatán,6.515706789508067e+16
 Guerrero,6.550039891474615e+16
 Aguascalientes,5.4522389961738904e+16
 Durango,5.298538730073434e+16
 Morelos,5.19787199057306e+16
 Zacatecas,4.205204399438597e+16
 Baja California Sur,3.2611034468711052e+16
 Nayarit,2931897383039702.0
 Colima,2660327224033778.5
 Tlaxcala,242299185965888.34
